customerID,Churn,customer_gender,customer_SeniorCitizen,customer_Partner,customer_Dependents,customer_tenure,phone_PhoneService,phone_MultipleLines,internet_InternetService,internet_OnlineSecurity,internet_OnlineBackup,internet_DeviceProtection,internet_TechSupport,internet_StreamingTV,internet_StreamingMovies,account_Contract,account_PaperlessBilling,account_PaymentMethod,account_Charges_Monthly,account_Charges_Total,daily_expenses
0023-Uyupn,0,Female,1,1,0,50,1,1,No,0,0,0,0,0,0,One Year,0,Electronic Check,25.2,1306.3,0.84
0023-Xuopt,1,Female,0,1,0,13,1,1,Fiber Optic,0,1,1,0,1,0,Month-To-Month,0,Electronic Check,94.1,1215.6,3.1366666666666663
0027-Kwykw,0,Female,0,1,1,23,1,1,Fiber Optic,0,0,0,0,1,0,Month-To-Month,1,Electronic Check,83.75,1849.95,2.7916666666666665
0030-Fnxpp,0,Female,0,0,0,3,1,0,No,0,0,0,0,0,0,Month-To-Month,0,Mailed Check,19.85,57.2,0.6616666666666667
0031-Pvlzi,1,Female,0,1,1,4,1,0,No,0,0,0,0,0,0,Month-To-Month,0,Mailed Check,20.35,76.35,0.6783333333333333
0032-Pgels,1,Female,0,1,1,1,0,0,Dsl,1,0,0,0,0,0,Month-To-Month,0,Bank Transfer (Automatic),30.5,30.5,1.0166666666666666
0036-Ihmot,0,Female,0,1,1,55,1,0,Fiber Optic,0,1,1,1,1,1,One Year,1,Bank Transfer (Automatic),103.7,5656.75,3.4566666666666666
0040-Halcw,0,Male,0,1,1,54,1,0,No,0,0,0,0,0,0,Two Year,0,Credit Card (Automatic),20.4,1090.6,0.6799999999999999
0042-Jvwoj,0,Male,0,0,0,26,1,0,No,0,0,0,0,0,0,One Year,1,Bank Transfer (Automatic),19.6,471.85,0.6533333333333334
0042-Rlhyp,0,Female,0,1,1,69,1,0,No,0,0,0,0,0,0,Two Year,0,Bank Transfer (Automatic),19.7,1396.9,0.6566666666666666
0047-Zhdtw,0,Female,0,0,0,11,1,1,Fiber Optic,1,0,0,0,0,0,Month-To-Month,1,Bank Transfer (Automatic),79.0,929.3,2.6333333333333333
0048-Lumls,0,Male,0,1,1,37,1,0,Fiber Optic,0,0,0,0,1,1,One Year,0,Credit Card (Automatic),91.2,3247.55,3.04
0048-Pihnl,0,Female,0,1,0,49,1,0,No,0,0,0,0,0,0,One Year,0,Bank Transfer (Automatic),20.45,900.9,0.6816666666666666
0052-Dckon,0,Male,0,1,0,66,1,1,Fiber Optic,1,1,1,1,1,1,One Year,0,Bank Transfer (Automatic),115.8,7942.15,3.86
0052-Ynyot,0,Female,0,0,0,67,1,0,No,0,0,0,0,0,0,One Year,0,Electronic Check,20.55,1343.4,0.685
0056-Epfbg,0,Male,0,1,1,20,0,0,Dsl,1,0,1,1,0,0,Two Year,1,Credit Card (Automatic),39.4,825.4,1.3133333333333332
0057-Qbuqh,0,Female,0,0,1,43,1,1,No,0,0,0,0,0,0,Two Year,1,Electronic Check,25.1,1070.15,0.8366666666666667
0058-Evzwm,0,Female,0,1,0,55,1,1,Fiber Optic,1,0,0,0,1,0,Month-To-Month,1,Bank Transfer (Automatic),89.8,4959.6,2.993333333333333
0060-Fualy,0,Female,0,1,0,59,1,1,Fiber Optic,1,1,0,0,1,0,Month-To-Month,1,Electronic Check,94.75,5597.65,3.158333333333333
0064-Sudog,0,Female,0,1,1,12,1,0,No,0,0,0,0,0,0,Two Year,0,Bank Transfer (Automatic),20.3,224.5,0.6766666666666666
0064-Yijgf,0,Male,0,1,1,27,1,1,Fiber Optic,0,0,0,0,0,0,Month-To-Month,1,Bank Transfer (Automatic),75.75,1929.0,2.525
0067-Dkwbl,1,Male,1,0,0,2,1,0,Dsl,1,0,0,0,0,0,Month-To-Month,1,Electronic Check,49.25,91.1,1.6416666666666666
0068-Figtf,0,Female,0,0,0,27,1,0,Dsl,0,1,1,1,1,1,One Year,0,Mailed Check,78.2,2078.95,2.606666666666667
0071-Ndafp,0,Male,0,1,1,25,1,1,No,0,0,0,0,0,0,Two Year,0,Credit Card (Automatic),25.5,630.6,0.85
0074-Hdkdg,0,Male,0,1,1,25,1,0,Dsl,1,1,1,0,0,0,One Year,1,Bank Transfer (Automatic),61.6,1611.0,2.0533333333333332
0076-Lveps,0,Male,0,0,1,29,0,0,Dsl,1,1,1,1,0,0,Month-To-Month,1,Mailed Check,45.0,1242.45,1.5
0078-Xzmht,0,Male,0,1,0,72,1,1,Dsl,0,1,1,1,1,1,Two Year,1,Bank Transfer (Automatic),85.15,6316.2,2.8383333333333334
0080-Emyvy,0,Female,0,0,0,14,1,0,Dsl,0,1,0,0,0,0,One Year,0,Credit Card (Automatic),51.45,727.85,1.715
0080-Orozo,0,Female,0,0,0,35,1,0,Fiber Optic,0,0,1,1,1,1,One Year,1,Electronic Check,99.25,3532.0,3.308333333333333
0082-Ldzue,0,Male,0,0,0,1,1,0,Dsl,0,0,0,0,0,0,Month-To-Month,1,Mailed Check,44.3,44.3,1.4766666666666666
0082-Oqiqy,0,Male,0,0,0,29,1,0,Fiber Optic,0,0,0,1,1,1,Month-To-Month,1,Electronic Check,94.2,2607.6,3.14
0083-Pivik,0,Male,0,0,0,64,1,1,Dsl,1,1,1,1,1,0,One Year,0,Electronic Check,81.25,5567.55,2.7083333333333335
0089-Iiqko,0,Female,0,1,1,39,1,1,Fiber Optic,0,0,0,1,1,1,Month-To-Month,1,Credit Card (Automatic),99.95,3767.4,3.3316666666666666
0093-Exyql,0,Female,1,0,0,40,1,0,Fiber Optic,0,0,0,0,1,1,Month-To-Month,1,Electronic Check,91.55,3673.6,3.0516666666666667
0093-Xwzfy,1,Male,0,0,0,40,1,1,Fiber Optic,0,1,1,0,1,1,Month-To-Month,1,Credit Card (Automatic),104.5,4036.85,3.4833333333333334
0094-Oifmo,1,Female,1,0,0,11,1,0,Fiber Optic,0,1,0,0,1,1,Month-To-Month,1,Electronic Check,95.0,1120.3,3.1666666666666665
0096-Bxers,0,Female,0,1,0,6,1,1,Dsl,0,0,0,0,0,0,Month-To-Month,0,Electronic Check,50.35,314.55,1.6783333333333335
0096-Fcpuf,0,Male,0,0,0,30,1,1,Dsl,1,0,0,0,0,1,Month-To-Month,1,Mailed Check,64.5,1888.45,2.15
0098-Bowso,0,Male,0,0,0,27,1,0,No,0,0,0,0,0,0,Month-To-Month,1,Electronic Check,19.4,529.8,0.6466666666666666
0100-Duvfc,0,Male,1,1,0,70,1,1,Fiber Optic,0,1,1,0,1,1,One Year,1,Electronic Check,104.8,7308.95,3.493333333333333
0103-Csitq,0,Female,0,1,0,57,1,1,Fiber Optic,0,1,1,1,1,1,One Year,1,Bank Transfer (Automatic),109.4,6252.7,3.646666666666667
0104-Ppxdv,0,Male,0,1,0,58,1,0,Dsl,0,0,1,0,0,0,One Year,0,Credit Card (Automatic),50.3,2878.55,1.6766666666666665
0106-Ghrqr,0,Male,0,0,0,16,1,1,Dsl,0,1,1,0,0,1,Month-To-Month,1,Bank Transfer (Automatic),71.4,1212.1,2.3800000000000003
0106-Ugrdo,0,Female,0,1,0,69,1,1,Fiber Optic,1,1,1,1,1,1,Two Year,1,Electronic Check,116.0,8182.85,3.8666666666666667
0107-Weslm,1,Male,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-To-Month,1,Electronic Check,19.85,19.85,0.6616666666666667
0107-Yhina,1,Male,0,0,1,1,1,1,Fiber Optic,0,0,1,0,1,1,Month-To-Month,1,Electronic Check,99.75,99.75,3.325
0111-Klbqg,0,Male,1,1,1,32,1,0,Fiber Optic,0,1,0,0,1,1,Month-To-Month,1,Mailed Check,93.95,2861.45,3.131666666666667
0112-Qawrz,0,Male,0,1,1,16,1,1,Fiber Optic,0,0,1,0,1,0,Month-To-Month,1,Bank Transfer (Automatic),90.8,1442.2,3.0266666666666664
0112-Qwpnc,1,Male,0,1,0,49,1,1,Dsl,1,0,1,1,1,1,One Year,0,Electronic Check,84.35,4059.35,2.8116666666666665
0114-Igabw,0,Female,0,1,0,71,0,0,Dsl,0,1,1,1,1,1,Two Year,0,Bank Transfer (Automatic),58.25,4145.9,1.9416666666666667
0114-Pegzz,0,Female,0,0,0,33,1,1,Fiber Optic,0,1,1,0,1,1,Month-To-Month,0,Electronic Check,107.55,3645.5,3.585
0114-Rsrrw,0,Female,0,1,0,10,1,0,No,0,0,0,0,0,0,Month-To-Month,1,Bank Transfer (Automatic),19.95,187.75,0.6649999999999999
0115-Tfert,1,Male,0,1,0,21,1,1,Fiber Optic,0,1,1,1,1,1,Month-To-Month,1,Electronic Check,111.2,2317.1,3.7066666666666666
0117-Lfrmw,1,Male,0,1,1,37,0,0,Dsl,1,1,1,0,0,0,Month-To-Month,0,Bank Transfer (Automatic),40.2,1448.8,1.34
0118-Jpnoy,0,Female,1,0,0,26,1,0,Fiber Optic,1,0,0,0,1,0,Month-To-Month,1,Credit Card (Automatic),85.8,2193.65,2.86
0120-Yzlqa,0,Male,0,0,0,71,1,0,No,0,0,0,0,0,0,Two Year,1,Credit Card (Automatic),19.9,1355.1,0.6633333333333333
0121-Snyrk,0,Male,0,0,0,50,0,0,Dsl,1,0,0,1,0,0,One Year,1,Mailed Check,35.4,1748.9,1.18
0122-Oahpz,1,Female,0,0,0,7,1,1,Fiber Optic,0,0,0,0,0,0,Month-To-Month,1,Electronic Check,73.85,511.25,2.4616666666666664
0123-Crbrt,0,Female,0,1,1,61,1,1,Dsl,1,1,1,1,1,1,Two Year,0,Mailed Check,88.1,5526.75,2.9366666666666665
0125-Lzqxk,1,Male,0,0,0,15,1,0,Fiber Optic,0,0,1,1,1,1,Month-To-Month,1,Electronic Check,101.35,1553.95,3.378333333333333
0128-Mkwsg,0,Female,0,0,1,26,0,0,Dsl,1,0,0,1,0,1,Month-To-Month,0,Mailed Check,45.8,1147.0,1.5266666666666666
0129-Kptwj,0,Male,0,1,0,72,1,0,Fiber Optic,0,0,1,0,1,1,Month-To-Month,1,Electronic Check,94.65,6747.35,3.1550000000000002
0129-Qmpdr,0,Male,0,1,1,44,1,0,No,0,0,0,0,0,0,One Year,1,Bank Transfer (Automatic),20.5,865.05,0.6833333333333333
0130-Sxoun,0,Male,0,0,0,66,1,1,Fiber Optic,0,1,0,0,0,1,Month-To-Month,0,Credit Card (Automatic),89.4,5976.9,2.98
0133-Bmfzo,1,Female,0,0,0,2,1,0,Fiber Optic,1,1,0,1,0,0,Month-To-Month,1,Electronic Check,86.25,181.65,2.875
0134-Xwxce,0,Female,1,0,0,44,1,0,Dsl,0,0,1,1,1,1,One Year,0,Bank Transfer (Automatic),74.85,3268.05,2.4949999999999997
0135-Nmxap,1,Female,0,0,0,12,1,1,Fiber Optic,0,1,0,0,1,0,Month-To-Month,1,Bank Transfer (Automatic),89.75,1052.4,2.9916666666666667
0136-Ifmyd,0,Male,1,1,0,69,1,1,Fiber Optic,0,1,1,1,1,1,Two Year,1,Electronic Check,109.95,7634.25,3.665
0137-Ocgab,1,Female,0,0,0,1,1,1,Fiber Optic,0,1,0,0,0,0,Month-To-Month,1,Mailed Check,80.2,80.2,2.6733333333333333
0137-Udeuo,1,Female,0,0,0,3,1,0,No,0,0,0,0,0,0,Month-To-Month,0,Mailed Check,19.85,63.75,0.6616666666666667
0139-Ivfjg,0,Female,0,1,0,2,1,0,Fiber Optic,1,1,0,0,1,0,Month-To-Month,0,Electronic Check,90.35,190.5,3.0116666666666663
0141-Yeays,0,Female,1,0,0,27,1,1,Fiber Optic,0,1,1,0,0,0,Month-To-Month,1,Bank Transfer (Automatic),86.45,2401.05,2.881666666666667
0142-Gvysn,0,Male,0,0,0,26,1,0,No,0,0,0,0,0,0,Month-To-Month,1,Electronic Check,20.3,511.25,0.6766666666666666
0147-Eswwr,0,Female,1,1,0,39,1,1,Fiber Optic,0,0,0,1,1,1,Month-To-Month,1,Electronic Check,101.25,3949.15,3.375
0148-Dcdos,1,Male,0,0,0,25,1,1,Fiber Optic,0,0,0,0,1,1,Month-To-Month,1,Bank Transfer (Automatic),94.7,2362.1,3.1566666666666667
0151-Ontov,1,Female,0,0,0,1,1,0,Fiber Optic,0,0,0,0,0,0,Month-To-Month,0,Mailed Check,70.9,70.9,2.3633333333333337
0154-Qyhju,0,Male,0,0,0,29,1,0,Dsl,1,1,0,1,0,0,One Year,1,Electronic Check,58.75,1696.2,1.9583333333333333
0156-Fvpta,1,Male,0,1,0,22,1,0,Dsl,1,0,0,1,0,0,Month-To-Month,1,Electronic Check,54.2,1152.7,1.8066666666666669
0162-Rzgmz,0,Female,1,0,0,5,1,0,Dsl,1,1,0,1,0,0,Month-To-Month,0,Credit Card (Automatic),59.9,287.85,1.9966666666666666
0164-Apgrb,0,Female,0,0,0,72,1,1,Fiber Optic,1,1,1,1,1,1,Two Year,1,Electronic Check,114.9,8496.7,3.83
0164-Xairp,0,Female,0,0,0,24,1,0,No,0,0,0,0,0,0,Two Year,1,Bank Transfer (Automatic),19.55,470.2,0.6516666666666667
0168-Xzkbb,0,Female,0,1,0,19,1,1,Fiber Optic,0,0,0,0,1,0,Month-To-Month,1,Electronic Check,86.85,1564.4,2.895
0174-Qrvvy,0,Male,0,1,1,71,1,1,No,0,0,0,0,0,0,Two Year,0,Credit Card (Automatic),25.35,1847.55,0.8450000000000001
0177-Pxbat,0,Male,1,1,0,33,1,1,Fiber Optic,1,0,1,1,1,1,Month-To-Month,1,Bank Transfer (Automatic),109.9,3694.7,3.6633333333333336
0178-Ciikr,0,Female,0,0,0,3,1,0,No,0,0,0,0,0,0,Month-To-Month,0,Mailed Check,19.95,58.0,0.6649999999999999
0178-Szbho,0,Male,0,1,1,47,1,1,Fiber Optic,0,1,0,0,1,0,Month-To-Month,0,Electronic Check,87.2,4017.45,2.9066666666666667
0181-Ritdd,0,Male,0,1,1,62,1,0,Fiber Optic,1,1,1,1,1,1,Two Year,0,Mailed Check,108.15,6825.65,3.605
0186-Caerr,0,Male,0,0,0,71,1,1,Fiber Optic,1,1,1,1,1,1,One Year,1,Bank Transfer (Automatic),116.3,8309.55,3.8766666666666665
0187-Qsxoe,0,Male,1,1,0,7,1,0,Fiber Optic,0,0,0,0,1,1,Month-To-Month,1,Electronic Check,89.0,605.45,2.966666666666667
0187-Wznab,0,Female,0,1,1,27,1,0,Fiber Optic,1,0,0,0,0,0,Month-To-Month,0,Mailed Check,74.4,1972.35,2.48
0188-Gwfle,0,Male,0,0,0,2,1,0,No,0,0,0,0,0,0,Month-To-Month,0,Mailed Check,20.05,33.7,0.6683333333333333
0191-Equuh,0,Female,0,0,1,25,0,0,Dsl,1,0,0,1,0,0,Two Year,0,Bank Transfer (Automatic),35.05,844.45,1.1683333333333332
0191-Zhskz,0,Male,1,0,0,30,1,0,Dsl,1,1,0,0,1,1,Month-To-Month,1,Electronic Check,74.75,2111.3,2.4916666666666667
0193-Eszxp,1,Female,1,1,0,58,1,0,Fiber Optic,1,1,0,1,1,1,One Year,1,Credit Card (Automatic),105.5,6205.5,3.5166666666666666
0195-Iescp,1,Male,0,1,0,10,1,1,Fiber Optic,0,0,0,0,0,1,Month-To-Month,1,Electronic Check,85.25,855.3,2.841666666666667
0196-Jtuqi,0,Female,0,0,0,9,1,1,Fiber Optic,0,0,0,0,0,0,Month-To-Month,1,Credit Card (Automatic),75.2,633.85,2.506666666666667
0196-Vulgz,1,Female,1,1,0,6,1,1,Fiber Optic,0,0,0,0,0,1,Month-To-Month,1,Electronic Check,84.35,474.9,2.8116666666666665
0197-Pnknk,0,Female,0,1,1,69,1,1,Fiber Optic,1,0,1,0,0,0,One Year,0,Bank Transfer (Automatic),84.45,5848.6,2.815
0201-Mibol,0,Female,1,0,0,66,1,1,Fiber Optic,1,0,0,0,1,1,Two Year,1,Bank Transfer (Automatic),102.4,6471.85,3.4133333333333336
0201-Oamxr,1,Female,0,0,0,70,1,1,Fiber Optic,1,1,1,1,1,1,One Year,0,Credit Card (Automatic),115.55,8127.6,3.8516666666666666
0203-Hhyij,1,Male,0,0,0,25,1,1,No,0,0,0,0,0,0,One Year,0,Bank Transfer (Automatic),25.3,676.35,0.8433333333333334
0206-Oyvoc,0,Female,0,1,1,46,1,0,No,0,0,0,0,0,0,Two Year,1,Mailed Check,19.25,864.2,0.6416666666666667
0206-Tbwlc,0,Female,0,1,0,54,1,1,Fiber Optic,1,1,1,1,1,1,One Year,1,Mailed Check,114.65,6049.5,3.8216666666666668
0207-Mdknv,1,Female,0,0,0,15,1,0,Fiber Optic,1,0,1,1,1,1,Month-To-Month,0,Electronic Check,105.1,1582.75,3.503333333333333
0208-Bpqej,0,Female,0,1,1,12,1,0,No,0,0,0,0,0,0,Month-To-Month,0,Bank Transfer (Automatic),19.4,198.1,0.6466666666666666
0212-Isbbf,0,Female,0,0,0,22,0,0,Dsl,0,1,0,0,1,1,Month-To-Month,1,Electronic Check,50.35,1098.85,1.6783333333333335
0214-Jhpfw,0,Female,0,1,0,70,0,0,Dsl,0,1,1,1,1,1,Two Year,0,Bank Transfer (Automatic),57.8,4039.3,1.9266666666666665
0215-Bqkgs,0,Male,0,0,0,30,1,0,Fiber Optic,1,1,1,0,0,0,Month-To-Month,1,Credit Card (Automatic),84.3,2438.6,2.81
0218-Qnvas,0,Male,0,1,1,71,1,1,Fiber Optic,0,1,0,0,1,1,One Year,0,Bank Transfer (Automatic),100.55,7113.75,3.3516666666666666
0219-Qaerp,0,Male,0,1,0,30,1,0,No,0,0,0,0,0,0,One Year,0,Credit Card (Automatic),19.8,576.65,0.66
0219-Ytzue,1,Male,0,1,1,4,1,1,Fiber Optic,0,1,1,0,0,0,Month-To-Month,1,Bank Transfer (Automatic),84.8,371.9,2.8266666666666667
0220-Ebgce,1,Male,0,0,0,2,1,0,Fiber Optic,0,0,1,0,0,1,Month-To-Month,1,Electronic Check,85.85,167.3,2.8616666666666664
0221-Nauxk,0,Male,0,0,1,10,1,0,No,0,0,0,0,0,0,One Year,1,Bank Transfer (Automatic),19.95,219.5,0.6649999999999999
0221-Wmxnq,0,Male,1,0,0,4,1,0,Fiber Optic,1,0,0,0,0,0,Month-To-Month,0,Electronic Check,75.35,273.4,2.5116666666666663
0222-Cnvpt,0,Male,1,0,0,52,0,0,Dsl,1,0,0,0,1,1,Month-To-Month,1,Credit Card (Automatic),48.8,2555.05,1.6266666666666665
0224-Hjapt,1,Male,0,0,0,5,1,1,Dsl,0,0,0,0,0,0,Month-To-Month,0,Electronic Check,47.15,223.15,1.5716666666666665
0224-Nijlp,0,Male,0,1,1,8,1,0,No,0,0,0,0,0,0,Two Year,0,Mailed Check,20.15,165.5,0.6716666666666666
0224-Rlwwd,0,Female,1,0,0,2,1,0,Dsl,0,0,0,0,0,0,Month-To-Month,1,Electronic Check,44.3,89.3,1.4766666666666666
0225-Zorzp,0,Male,0,0,0,3,1,0,Fiber Optic,0,1,0,0,0,1,Month-To-Month,0,Electronic Check,84.3,235.05,2.81
0228-Mauwc,0,Male,0,0,0,19,1,1,Dsl,0,0,1,1,0,0,Month-To-Month,0,Electronic Check,59.55,1144.6,1.9849999999999999
0229-Lfjaf,0,Male,0,0,0,72,1,1,Dsl,1,1,1,1,0,0,Two Year,0,Bank Transfer (Automatic),69.65,4908.25,2.3216666666666668
0230-Ubypq,0,Male,1,1,0,63,0,0,Dsl,1,0,0,1,0,0,One Year,0,Bank Transfer (Automatic),36.1,2298.9,1.2033333333333334
0230-Wequw,0,Male,0,1,0,66,0,0,Dsl,1,1,1,1,1,0,Two Year,1,Bank Transfer (Automatic),56.6,3789.2,1.8866666666666667
0231-Lxvap,1,Male,0,0,0,1,1,0,Fiber Optic,0,0,0,1,0,0,Month-To-Month,1,Electronic Check,75.9,75.9,2.5300000000000002
0233-Fthav,0,Female,0,0,0,60,1,1,Fiber Optic,0,0,1,0,0,0,One Year,1,Bank Transfer (Automatic),79.2,4765.0,2.64
0234-Tevtt,0,Female,0,1,1,48,0,0,Dsl,1,0,1,0,0,1,One Year,0,Credit Card (Automatic),45.0,2196.3,1.5
0235-Kgslc,1,Female,0,0,0,1,1,0,Fiber Optic,0,0,1,0,1,0,Month-To-Month,1,Credit Card (Automatic),85.55,85.55,2.8516666666666666
0236-Hfwsv,1,Male,0,0,0,15,1,1,Fiber Optic,0,0,0,0,1,1,Month-To-Month,1,Electronic Check,93.35,1444.65,3.1116666666666664
0237-Yfutl,0,Female,0,1,0,50,1,1,Fiber Optic,1,1,0,1,1,1,Month-To-Month,1,Bank Transfer (Automatic),109.65,5405.8,3.6550000000000002
0238-Whbiq,0,Male,0,1,1,72,1,1,Dsl,1,1,1,1,1,1,Two Year,0,Credit Card (Automatic),89.7,6339.3,2.99
0239-Oxexl,0,Female,0,0,0,46,1,1,Fiber Optic,1,1,0,0,0,0,Month-To-Month,0,Mailed Check,84.25,3847.6,2.808333333333333
0244-Lgnfy,0,Female,0,1,1,72,1,1,Dsl,1,1,1,1,1,1,Two Year,0,Bank Transfer (Automatic),92.65,6733.0,3.0883333333333334
0247-Sluji,0,Male,0,1,1,1,1,0,No,0,0,0,0,0,0,Month-To-Month,0,Mailed Check,19.7,19.7,0.6566666666666666
0248-Ipdfw,0,Female,0,0,0,1,1,1,Dsl,0,0,0,0,0,0,Month-To-Month,1,Electronic Check,50.1,50.1,1.6700000000000002
0248-Pghbz,0,Female,1,0,0,67,1,0,Fiber Optic,1,1,0,1,1,0,Two Year,1,Bank Transfer (Automatic),92.45,6140.85,3.0816666666666666
0253-Zteob,0,Female,0,1,1,48,1,1,Dsl,0,1,0,1,1,1,Two Year,0,Electronic Check,79.65,3870.3,2.6550000000000002
0254-Fnmci,0,Female,0,0,0,72,1,0,Fiber Optic,1,1,1,1,1,1,Two Year,1,Electronic Check,109.9,7624.2,3.6633333333333336
0254-Kcjgt,0,Male,0,1,0,52,1,1,Dsl,1,1,1,1,0,1,One Year,1,Credit Card (Automatic),81.4,4354.45,2.7133333333333334
0254-Wwrkd,0,Female,0,1,1,67,1,0,Dsl,0,1,0,0,0,0,One Year,0,Credit Card (Automatic),50.55,3431.75,1.6849999999999998
0256-Lthvj,1,Female,0,1,1,28,1,0,Fiber Optic,0,0,0,0,0,1,Month-To-Month,1,Electronic Check,81.05,2227.1,2.7016666666666667
0257-Kxzgu,0,Female,0,1,1,32,1,1,Dsl,0,1,1,0,0,0,Month-To-Month,0,Bank Transfer (Automatic),62.45,2045.55,2.0816666666666666
0257-Zesqc,1,Female,1,1,0,27,1,0,Fiber Optic,1,0,0,0,0,0,Month-To-Month,1,Bank Transfer (Automatic),75.2,1929.35,2.506666666666667
0258-Nokbl,0,Male,0,0,0,3,1,0,Fiber Optic,0,1,1,0,0,1,Month-To-Month,0,Electronic Check,90.4,268.45,3.0133333333333336
0259-Gbzsh,1,Male,0,0,0,2,1,1,Fiber Optic,0,0,0,0,1,0,Month-To-Month,1,Electronic Check,85.65,181.5,2.855
0260-Zdlgk,1,Female,0,0,1,9,1,0,Dsl,0,0,1,1,1,1,Month-To-Month,1,Mailed Check,72.9,651.4,2.43
0263-Fjtqo,0,Male,0,1,1,50,1,1,Dsl,1,0,0,1,1,0,Two Year,1,Credit Card (Automatic),70.5,3486.65,2.35
0264-Cnitk,0,Female,0,1,1,71,1,0,No,0,0,0,0,0,0,Two Year,0,Bank Transfer (Automatic),20.1,1389.6,0.67
0265-Edxbd,1,Male,1,1,0,32,1,1,Fiber Optic,0,0,0,0,0,0,Month-To-Month,1,Electronic Check,74.9,2303.35,2.496666666666667
0265-Psuae,0,Female,0,1,1,16,1,0,Fiber Optic,1,0,1,0,1,1,Month-To-Month,0,Bank Transfer (Automatic),100.7,1522.7,3.356666666666667
0266-Clzkz,0,Female,0,1,1,67,1,1,Fiber Optic,0,0,1,1,1,1,Two Year,1,Bank Transfer (Automatic),105.65,6717.9,3.521666666666667
0266-Gmeao,0,Male,0,1,1,72,1,1,Fiber Optic,1,1,1,1,1,1,Two Year,1,Credit Card (Automatic),114.3,8058.55,3.81
0268-Qkiwo,1,Female,0,0,0,3,1,0,No,0,0,0,0,0,0,Month-To-Month,0,Electronic Check,19.75,58.85,0.6583333333333333
0269-Xfesx,0,Male,0,1,1,23,1,1,No,0,0,0,0,0,0,One Year,0,Mailed Check,24.35,538.5,0.8116666666666668
